brand,categories,colorway,deadstock_sold,gender,style_id,thumbnail_url,url
Nike,"['LeBron', 'Ten']",Black/Strata Grey,28,men,541100-004,"https://stockx.imgix.net/Nike-Lebron-X-10-Prism.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-prism
Nike,"['LeBron', 'Ten']",Sport Turquoise/Volt-Violet Force,26,men,579827 300,"https://stockx.imgix.net/Nike-Lebron-X-10-Elite-Miami-Dade-Turquoise-Volt.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-elite-miami-dade
Nike,"['LeBron', 'Ten']",Black/Metallic Silver-Anthracite,26,men,541100-001,"https://stockx.imgix.net/Nike-Lebron-X-10-Black-Diamond-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1546756823",lebron-x-carbon
Nike,"['LeBron', 'Ten']",Black/Metallic Silver-Total Orange-Fireberry,21,men,541100-005,"https://stockx.imgix.net/Nike-Lebron-X-10-Floridian.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-floridian
Nike,"['LeBron', 'Ten']",Anthracite/Pure Platinum-Sport Grey,21,men,583109-001,"https://stockx.imgix.net/Nike-Lebron-X-10-Black-History-Month.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-black-history-month
Nike,"['LeBron', 'Ten']",White/Metallic Gold-Obsidian-University Red,20,men,542244-100,"https://stockx.imgix.net/Nike-Lebron-X-10-Gold-Medal-Sport-Pack.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-sp-gold-medal
Nike,"['LeBron', 'Ten']",Crystal Mint/Fiberglass-Poison Green,16,men,579765-300,"https://stockx.imgix.net/Nike-Lebron-X-10-Low-Easter.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-low-easter
Nike,"['LeBron', 'Ten']",Charcoal/Total Orange-Black,15,men,541100-002,"https://stockx.imgix.net/Nike-Lebron-X-10-Lava.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-x-lava
Nike,"['LeBron', 'Zoom Soldier']",Black/Black-University Gold,13,men,844378-007,"https://stockx.imgix.net/Nike-LeBron-Zoom-Soldier-10-Black-Uni-Gold.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-10-black-uni-gold
Nike,"['LeBron', 'Zoom Soldier']",White/Metallic Gold-Dark Obsidian,11,men,883333-174,"https://stockx.imgix.net/Nike-Lebron-Zoom-Soldier-10-Medal.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-10-gold-medal
Nike,"['LeBron', 'Zoom Soldier']",University Red/University Red,10,men,911306-600,"https://stockx.imgix.net/Nike-LeBron-Zoom-Soldier-10-Lux-Red.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",nike-lebron-zoom-soldier-10-lux-red
Nike,"['LeBron', 'Eleven']",Anthracite/Metallic Gold-Purple Venom,74,men,646702-001,"https://stockx.imgix.net/Nike-Lebron-11-Black-History-Month.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-11-black-history-month
Nike,"['LeBron', 'Eleven']",Laser Crimson/Black/Turbo Green,44,men,642846-600,"https://stockx.imgix.net/Nike-Lebron-11-Elite-Hero.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-11-elite-hero
Nike,"['LeBron', 'Eleven']",Multi-Color/Metallic Gold-Muti-Color,40,men,695224-970,"https://stockx.imgix.net/Nike-Lebron-11-Low-SE-Multi-Color-Champ.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-11-low-se-multi-color
Nike,"['LeBron', 'Eleven']",Black/Black-Denim,34,men,659509-004,"https://stockx.imgix.net/Nike-Lebron-11-EXT-Denim.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-11-ext-denim
Nike,"['LeBron', 'Eleven']",Court Purple/Reflect Silver-Vivid Blue,29,men,616175-500,"https://stockx.imgix.net/Nike-Lebron-11-Summit-Lake-Hornets.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",lebron-11-summit-lake-hornets
